79964|79964|t.mom.louvre;;1029
79970|79970|t.mom.louvre;;1035
79958|79958|t.mom.louvre;;1023
79780|79780|t.mom.louvre;;665
79794|79794|t.mom.louvre;;689
79019|79019|sb;22;15437
79025|79025|sb;22;15443
79743|79743|t.mom.louvre;;616
79757|79757|t.mom.louvre;;637
79031|79031|sb;22;15449
79810|79810|t.mom.louvre;;731
79804|79804|t.mom.louvre;;705
79192|79192|sb;22;15723
79838|79838|t.mom.louvre;;781
79186|79186|o.wadi.hamm;;60
79179|79179|o.wadi.hamm;;53
79151|79151|o.wadi.hamm;;25
79637|79637|t.mom.louvre;;442
79623|79623|t.mom.louvre;;410
79145|79145|sb;22;15659
79390|79390|sb;24;16224
79384|79384|sb;24;16217
79409|79409|sb;24;16249
79435|79435|sb;28;17256
79353|79353|sb;24;16176
79347|79347|sb;24;16146
79421|79421|sb;24;16275
79351|79351|sb;24;16165
79437|79437|sb;24;16327
79423|79423|short.texts;2;479
79345|79345|sb;24;16144
79379|79379|sb;24;16209
79392|79392|sb;24;16232
79386|79386|tyche;29;96
79635|79635|t.mom.louvre;;440
79153|79153|o.wadi.hamm;;27
79147|79147|o.wadi.hamm;;21
79621|79621|t.mom.louvre;;408
79609|79609|t.mom.louvre;;384
79190|79190|sb;22;15715
79184|79184|o.wadi.hamm;;58
79812|79812|t.mom.louvre;;734
79806|79806|t.mom.louvre;;724
79999|79999|t.mom.louvre;;1064
79741|79741|t.mom.louvre;;614
79027|79027|sb;22;15445
79033|79033|sb;22;15451
79755|79755|t.mom.louvre;;635
79769|79769|t.mom.louvre;;652
79782|79782|t.mom.louvre;;667
79796|79796|t.mom.louvre;;691
79966|79966|t.mom.louvre;;1031
79972|79972|t.mom.louvre;;1037
79225|79225|sb;24;15888
79543|79543|t.mom.louvre;;274
79557|79557|t.mom.louvre;;294
79231|79231|sb;24;15896
79219|79219|sb;24;15879
79580|79580|t.mom.louvre;;334
79594|79594|t.mom.louvre;;357
79595|79595|t.mom.louvre;;358
79581|79581|t.mom.louvre;;335
79218|79218|sb;24;15878
79556|79556|t.mom.louvre;;291
79230|79230|sb;24;15894
79224|79224|sb;24;15886
79542|79542|t.mom.louvre;;268
79973|79973|t.mom.louvre;;1038
79967|79967|t.mom.louvre;;1032
79797|79797|t.mom.louvre;;693
79783|79783|t.mom.louvre;;671
79768|79768|t.mom.louvre;;650
79032|79032|sb;22;15450
79754|79754|t.mom.louvre;;634
79740|79740|t.mom.louvre;;612
79998|79998|t.mom.louvre;;1063
79026|79026|sb;22;15444
